"VIEW_ID","FIELD_ID","SENSITIVITY_ID","STATUS","INDEXED"
51,1218,,"",""
51,1617,,"",""
7514,8304,,"",""
7514,8305,,"",""
7514,8306,,"",""
7514,8307,,"",""
7514,5310,,"",""
7514,5311,,"",""
7514,5312,,"",""
7514,5316,,"",""
7514,5317,,"",""
7514,5318,,"",""
7514,5322,,"",""
7514,5323,,"",""
7514,5324,,"",""
7514,5328,,"",""
51,1346,,"",""
51,138,,"",""
51,139,,"",""
51,156,,"",""
51,157,,"",""
51,158,,"",""
51,159,,"",""
51,160,,"",""
51,161,,"",""
51,2130,,"",""
51,1618,,"",""
51,1619,,"",""
51,1620,,"",""
1289,3801,,"",""
1289,3815,,"",""
1289,3816,,"",""
1289,3817,,"",""
1289,3818,,"",""
1289,3819,,"",""
1289,3820,,"",""
1289,1059,,"",""
1289,74,,"",""
1289,75,,"",""
9089,422,,"",""
7514,5329,,"",""
7514,5330,,"",""
7514,8308,,"",""
7514,8309,,"",""
1289,3821,,"",""
1289,3822,,"",""
1289,3823,,"",""
1289,3824,,"",""
1289,3825,,"",""
1289,3826,,"",""
1289,3827,,"",""
1289,3828,,"",""
1289,3829,,"",""
1289,3830,,"",""
